,name,city,state,search_string,url,geocode,lat,lon
19,Alpenglow Gear Co.,Oakhurst,CALIFORNIA,"Alpenglow Gear Co., Oakhurst, CALIFORNIA",https://www.facebook.com/alpenglowgearco/,"(37.3385273, -119.6447854)",37.3385273,-119.6447854
20,Last Minute Gear,San Francisco,CALIFORNIA,"Last Minute Gear, San Francisco, CALIFORNIA",https://www.lastmingear.com/,"(37.7889966, -122.4095205)",37.7889966,-122.4095205
21,Tahoe Used Ski and Snowboard,South Lake Tahoe,CALIFORNIA,"Tahoe Used Ski and Snowboard, South Lake Tahoe, CALIFORNIA",http://www.tahoeusedski.com/,"(38.912689, -120.003522)",38.912689,-120.003522
22,The Back Country,Truckee,CALIFORNIA,"The Back Country, Truckee, CALIFORNIA",https://thebackcountry.net/consignment-and-used-gear/,"(39.3264125, -120.2102677)",39.3264125,-120.2102677
23,Play It Again Sports,Chico,CALIFORNIA,"Play It Again Sports, Chico, CALIFORNIA",https://www.playitagainsports.com/locations/chico-ca,"(39.7255592, -121.8039549)",39.7255592,-121.8039549
24,Play It Again Sports,Concord,CALIFORNIA,"Play It Again Sports, Concord, CALIFORNIA",https://www.playitagainsports.com/locations/concord-ca,"(37.9606865, -122.061294)",37.9606865,-122.061294
25,Play It Again Sports,Dublin,CALIFORNIA,"Play It Again Sports, Dublin, CALIFORNIA",https://www.playitagainsports.com/locations/dublin-ca,"(37.7052198, -121.9172617)",37.7052198,-121.9172617
26,Play It Again Sports,Fair Oaks,CALIFORNIA,"Play It Again Sports, Fair Oaks, CALIFORNIA",https://www.playitagainsports.com/locations/fair-oaks-ca,"(38.6792501, -121.2607589)",38.6792501,-121.2607589
27,Play It Again Sports,Fullerton,CALIFORNIA,"Play It Again Sports, Fullerton, CALIFORNIA",https://www.playitagainsports.com/locations/fullerton-ca,"(33.887236, -117.867888)",33.887236,-117.867888
28,Play It Again Sports,Huntington Beach,CALIFORNIA,"Play It Again Sports, Huntington Beach, CALIFORNIA",https://www.playitagainsports.com/locations/huntington-beach-ca,"(33.69599000000001, -117.9881823)",33.69599000000001,-117.9881823
29,Play It Again Sports,La Mesa,CALIFORNIA,"Play It Again Sports, La Mesa, CALIFORNIA",https://www.playitagainsports.com/locations/la-mesa-ca,"(32.7649102, -117.024374)",32.7649102,-117.024374
30,Play It Again Sports,Los Alamitos,CALIFORNIA,"Play It Again Sports, Los Alamitos, CALIFORNIA",https://www.playitagainsports.com/locations/los-alamitos-ca,"(33.8091312, -118.0716182)",33.8091312,-118.0716182
31,Play It Again Sports,Modesto,CALIFORNIA,"Play It Again Sports, Modesto, CALIFORNIA",https://www.playitagainsports.com/locations/modesto-ca,"(37.679316, -120.9937065)",37.679316,-120.9937065
32,Play It Again Sports,Oceanside,CALIFORNIA,"Play It Again Sports, Oceanside, CALIFORNIA",https://www.playitagainsports.com/locations/oceanside-ca,"(33.1832362, -117.3685028)",33.1832362,-117.3685028
33,Play It Again Sports,Pasadena,CALIFORNIA,"Play It Again Sports, Pasadena, CALIFORNIA",https://www.playitagainsports.com/locations/pasadena-ca,"(34.145957, -118.075089)",34.145957,-118.075089
34,Play It Again Sports,San Diego x2,CALIFORNIA,"Play It Again Sports, San Diego x2, CALIFORNIA",https://www.playitagainsports.com/locations/san-diego-ca-pacific-beach,"(32.7989096, -117.2442403)",32.7989096,-117.2442403
35,Play It Again Sports,Santa Barbara,CALIFORNIA,"Play It Again Sports, Santa Barbara, CALIFORNIA",https://www.playitagainsports.com/locations/santa-barbara-ca,"(34.4369391, -119.7903423)",34.4369391,-119.7903423
36,Play It Again Sports,Santa Maria,CALIFORNIA,"Play It Again Sports, Santa Maria, CALIFORNIA",https://www.playitagainsports.com/locations/santa-maria-ca,"(34.4369391, -119.7903423)",34.4369391,-119.7903423
37,Play It Again Sports,Santa Rosa,CALIFORNIA,"Play It Again Sports, Santa Rosa, CALIFORNIA",https://www.playitagainsports.com/locations/santa-rosa-ca,"(38.4199748, -122.7139433)",38.4199748,-122.7139433
38,Play It Again Sports,Sherman Oaks,CALIFORNIA,"Play It Again Sports, Sherman Oaks, CALIFORNIA",https://www.playitagainsports.com/locations/sherman-oaks-ca,"(34.176753, -118.465595)",34.176753,-118.465595
39,Play It Again Sports,Simi Valley,CALIFORNIA,"Play It Again Sports, Simi Valley, CALIFORNIA",https://www.playitagainsports.com/locations/simi-valley-ca,"(34.2781352, -118.7397693)",34.2781352,-118.7397693
40,Play It Again Sports,Soquel,CALIFORNIA,"Play It Again Sports, Soquel, CALIFORNIA",https://www.playitagainsports.com/locations/soquel-ca,"(36.9883628, -121.9559676)",36.9883628,-121.9559676
41,Play It Again Sports,Stockton,CALIFORNIA,"Play It Again Sports, Stockton, CALIFORNIA",https://www.playitagainsports.com/locations/stockton-ca,"(38.010586, -121.32146)",38.010586,-121.32146
42,Play It Again Sports,Torrance,CALIFORNIA,"Play It Again Sports, Torrance, CALIFORNIA",https://www.playitagainsports.com/locations/torrance-ca,"(33.8577773, -118.3633532)",33.8577773,-118.3633532
43,Play It Again Sports,Ventura,CALIFORNIA,"Play It Again Sports, Ventura, CALIFORNIA",https://www.playitagainsports.com/locations/ventura-ca,"(34.2602757, -119.2354667)",34.2602757,-119.2354667
44,Replay Sports,Aspen,COLORADO,"Replay Sports, Aspen, COLORADO",https://www.facebook.com/replaysportsaspen/,"(39.193813, -106.818444)",39.193813,-106.818444
45,Transition Sports,Avon,COLORADO,"Transition Sports, Avon, COLORADO",https://transition-sports.com/,"(39.6322222, -106.5180556)",39.6322222,-106.5180556
46,Boulder Sports Recycler Inc.,Boulder,COLORADO,"Boulder Sports Recycler Inc., Boulder, COLORADO",http://bouldersportsrecycler.com/,"(40.0648113, -105.2836267)",40.0648113,-105.2836267
47,Summit Thrift & Treasure,Breckenridge,COLORADO,"Summit Thrift & Treasure, Breckenridge, COLORADO",https://summitthrift.org/,"(39.50677779999999, -106.0521528)",39.50677779999999,-106.0521528
48,Summit Thrift & Treasure,Dillon,COLORADO,"Summit Thrift & Treasure, Dillon, COLORADO",https://summitthrift.org/,"(39.6275973, -106.0449511)",39.6275973,-106.0449511
49,Ragged Mountain Sports,Carbondale,COLORADO,"Ragged Mountain Sports, Carbondale, COLORADO",https://www.raggedmountainsports.com/,"(39.4042681, -107.2198156)",39.4042681,-107.2198156
50,Gearonimo Sports,Colorado Springs,COLORADO,"Gearonimo Sports, Colorado Springs, COLORADO",https://gearonimosports.com/,"(38.8139837, -104.8404779)",38.8139837,-104.8404779
51,Mountain Equipment Recyclers,Colorado Springs,COLORADO,"Mountain Equipment Recyclers, Colorado Springs, COLORADO",https://www.merecyclers.com/,"(38.8414039, -104.8632736)",38.8414039,-104.8632736
52,High Desert Life Outdoors & Exchange,Cortez,COLORADO,"High Desert Life Outdoors & Exchange, Cortez, COLORADO",https://highdesertoutdoors.life/,"(37.3487634, -108.5859535)",37.3487634,-108.5859535
53,FERAL,Denver,COLORADO,"FERAL, Denver, COLORADO",https://feralmountainco.com/the-store/,"(39.7716472, -105.0437096)",39.7716472,-105.0437096
54,FERAL,Idaho Springs,COLORADO,"FERAL, Idaho Springs, COLORADO",https://feralmountainco.com/the-idaho-springs-store/,"(39.742228, -105.515317)",39.742228,-105.515317
55,Outdoors Geek,Denver,COLORADO,"Outdoors Geek, Denver, COLORADO",https://www.outdoorsgeek.com/product-category/buy-now-used/,"(39.7742268, -104.9875537)",39.7742268,-104.9875537
56,Sports Plus,Denver,COLORADO,"Sports Plus, Denver, COLORADO",https://sportsplusdenver.com/,"(39.6974384, -104.9619385)",39.6974384,-104.9619385
57,Wilderness Exchange Unlimited,Denver,COLORADO,"Wilderness Exchange Unlimited, Denver, COLORADO",https://bit.ly/31zytwB,"(39.7566856, -105.0093137)",39.7566856,-105.0093137
58,Dunn Deal Resale,Durango,COLORADO,"Dunn Deal Resale, Durango, COLORADO",https://www.dunndeal.org/used-outdoor-gear-2/,"(37.2993917, -107.8718398)",37.2993917,-107.8718398
59,Durango Outdoor Exchange,Durango,COLORADO,"Durango Outdoor Exchange, Durango, COLORADO",https://durangooutdoorexchange.com/pages/sell-your-gear,"(37.3057229, -107.8669784)",37.3057229,-107.8669784
60,The Gearage,Fort Collins,COLORADO,"The Gearage, Fort Collins, COLORADO",http://gearageoutdoorsports.com/,"(40.5860651, -105.075241)",40.5860651,-105.075241
61,Recycle Sports,Frisco,COLORADO,"Recycle Sports, Frisco, COLORADO",https://recyclesportsfrisco.com/,"(39.58327500000001, -106.093287)",39.58327500000001,-106.093287
62,The Gear Junction,Grand Junction,COLORADO,"The Gear Junction, Grand Junction, COLORADO",http://www.thegearjunction.com/,"(39.0670411, -108.5634193)",39.0670411,-108.5634193
63,All Sports Replay,Gunnison,COLORADO,"All Sports Replay, Gunnison, COLORADO",https://www.asrgunnison.com/,"(38.5464892, -106.9276256)",38.5464892,-106.9276256
64,Angles Sports Exchange,Longmont,COLORADO,"Angles Sports Exchange, Longmont, COLORADO",http://www.anglessportsexchange.com/,"(40.1669952, -105.1028958)",40.1669952,-105.1028958
